HDR,ROLLING SYSTEM DEMAND
VD,20180603120000,24807
VD,20180603120500,24786
VD,20180603121000,24699
VD,20180603121500,24652
VD,20180603122000,24615
VD,20180603122500,24601
VD,20180603123000,24491
VD,20180603123500,24287
VD,20180603124000,24203
VD,20180603124500,24151
VD,20180603125000,24116
VD,20180603125500,24000
VD,20180603130000,23962
VD,20180603130500,23997
VD,20180603131000,24028
VD,20180603131500,23955
VD,20180603132000,23913
VD,20180603132500,23878
VD,20180603133000,23832
VD,20180603133500,23738
VD,20180603134000,23640
VD,20180603134500,23612
VD,20180603135000,23608
VD,20180603135500,23701
VD,20180603140000,23684
VD,20180603140500,23763
VD,20180603141000,23733
VD,20180603141500,23774
VD,20180603142000,23627
VD,20180603142500,23774
VD,20180603143000,23910
VD,20180603143500,23926
VD,20180603144000,23936
VD,20180603144500,23994
VD,20180603145000,24160
VD,20180603145500,24341
VD,20180603150000,24551
VD,20180603150500,24774
VD,20180603151000,24887
VD,20180603151500,25010
VD,20180603152000,25178
VD,20180603152500,25218
VD,20180603153000,25356
VD,20180603153500,25563
VD,20180603154000,25664
VD,20180603154500,25710
VD,20180603155000,25971
VD,20180603155500,26201
VD,20180603160000,26395
VD,20180603160500,26696
VD,20180603161000,26862
VD,20180603161500,26987
VD,20180603162000,27142
VD,20180603162500,27183
VD,20180603163000,27204
VD,20180603163500,27366
VD,20180603164000,27465
VD,20180603164500,27610
VD,20180603165000,27806
VD,20180603165500,28008
VD,20180603170000,28136
VD,20180603170500,28194
VD,20180603171000,28265
VD,20180603171500,28302
VD,20180603172000,28392
VD,20180603172500,28422
VD,20180603173000,28505
VD,20180603173500,28578
VD,20180603174000,28693
VD,20180603174500,28736
VD,20180603175000,28885
VD,20180603175500,28911
VD,20180603180000,28927
VD,20180603180500,29080
VD,20180603181000,29102
VD,20180603181500,29127
VD,20180603182000,29209
VD,20180603182500,29125
VD,20180603183000,29157
VD,20180603183500,29174
VD,20180603184000,29116
VD,20180603184500,29071
VD,20180603185000,29139
VD,20180603185500,29084
VD,20180603190000,29119
VD,20180603190500,29191
VD,20180603191000,29187
VD,20180603191500,29022
VD,20180603192000,29000
VD,20180603192500,29037
VD,20180603193000,29062
VD,20180603193500,28988
VD,20180603194000,29023
VD,20180603194500,28976
VD,20180603195000,28888
VD,20180603195500,28909
VD,20180603200000,28982
VD,20180603200500,28916
VD,20180603201000,28905
VD,20180603201500,28858
VD,20180603202000,28826
VD,20180603202500,28759
VD,20180603203000,28709
VD,20180603203500,28663
VD,20180603204000,28742
VD,20180603204500,28706
VD,20180603205000,28672
VD,20180603205500,28720
VD,20180603210000,28574
VD,20180603210500,28510
VD,20180603211000,28639
VD,20180603211500,28502
VD,20180603212000,28310
VD,20180603212500,28094
VD,20180603213000,27942
VD,20180603213500,27641
VD,20180603214000,27473
VD,20180603214500,27163
VD,20180603215000,26814
VD,20180603215500,26607
VD,20180603220000,26212
VD,20180603220500,25855
VD,20180603221000,25584
VD,20180603221500,25319
VD,20180603222000,24992
VD,20180603222500,24685
VD,20180603223000,24431
VD,20180603223500,24241
VD,20180603224000,24083
VD,20180603224500,23903
VD,20180603225000,23664
VD,20180603225500,23465
VD,20180603230000,23413
VD,20180603230500,23558
VD,20180603231000,23540
VD,20180603231500,23493
VD,20180603232000,23502
